town,traffic,weather,start,target,route_completion,lights_ran,duration,outside_lane,collision,collision_vehicle,collision_walker,in_route,blocked
Town01,0,1,78,225,55.9,1,422.65,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,78,225,56.74,1,288.75,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,78,225,26.46,0,231.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,78,225,39.98,0,273.6,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,103,21,61.29,1,268.1,5.39,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,103,21,4.9,0,189.55,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,103,21,3.17,0,187.75,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,103,21,4.11,0,204.7,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,127,87,100.0,1,213.6,28.19,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,127,87,100.0,1,214.3,26.95,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,6,127,87,100.0,1,216.7,37.95,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,127,87,72.73,1,341.1,6.4,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,19,103,28.01,0,223.15,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,19,103,28.16,0,223.15,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,19,103,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,19,103,33.16,1,239.9,3.81,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,230,210,41.73,1,136.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,230,210,100.0,0,39.25,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,6,230,210,100.0,0,38.2,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,230,210,0.0,0,136.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,250,190,36.67,1,369.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,250,190,38.21,1,223.6,21.23,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,250,190,21.53,0,24.0,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,250,190,26.78,1,209.4,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,220,118,28.01,0,33.45,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,220,118,28.35,0,33.5,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,6,220,118,100.0,2,110.15,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,220,118,24.97,0,210.25,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,200,224,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,200,224,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,200,224,41.71,1,82.5,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,200,224,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,11,17,54.43,1,211.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,11,17,29.08,0,199.65,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,11,17,19.01,0,195.65,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,11,17,16.3,0,194.1,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,78,245,52.33,0,58.1,0.0,FAILURE,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,78,245,46.3,1,231.65,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,78,245,45.95,0,231.15,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,78,245,69.44,0,388.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,3,175,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,3,175,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,3,175,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,3,175,0.0,0,180.05,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,92,112,100.0,1,177.15,3.62,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,3,92,112,100.0,1,177.95,4.7,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,6,92,112,86.0,0,336.7,9.41,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,92,112,100.0,1,179.55,5.73,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,233,238,1.23,0,184.6,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,233,238,1.23,0,184.55,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,233,238,100.0,3,188.7,8.46,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,8,233,238,100.0,2,174.3,6.21,SUCCESS,SUCCESS,SUCCESS,SUCCESS,SUCCESS
Town01,0,1,4,54,63.9,1,319.2,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,4,54,63.71,3,254.2,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,4,54,26.26,1,212.3,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,8,4,54,48.61,2,237.35,0.44,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,1,17,205,30.8,2,298.0,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,3,17,205,30.69,2,252.5,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
Town01,0,6,17,205,20.95,1,298.1,0.0,SUCCESS,SUCCESS,SUCCESS,SUCCESS,FAILURE
